instance,solver,run,nvertices,nedges,n,m,state,value,totalTime,totalIters,bestTime,bestIter
r_n100_p0.25_nA20_nB20_i0,heur_semigreedy2s_v2_a0.3,0,100,1186,20,20,FEASIBLE,2,2.75686,10000,0.136306,488
r_n150_p0.75_nA15_nB15_i2,heur_semigreedy2s_v2_a0.3,0,150,8450,15,15,FEASIBLE,4,12.1462,15000,0.758107,953
r_n150_p0.25_nA15_nB15_i2,heur_semigreedy2s_v2_a0.3,0,150,2737,15,15,FEASIBLE,2,6.95637,15000,0.000595474,0
r_n150_p0.75_nA15_nB30_i1,heur_semigreedy2s_v2_a0.3,0,150,8396,15,30,FEASIBLE,4,17.2444,15000,3.05475,2734
r_n150_p0.5_nA15_nB30_i2,heur_semigreedy2s_v2_a0.3,0,150,5571,15,30,FEASIBLE,3,21.0923,15000,0.02166,13
r_n150_p0.75_nA15_nB15_i1,heur_semigreedy2s_v2_a0.3,0,150,8391,15,15,FEASIBLE,4,12.1635,15000,0.894685,1111
r_n100_p0.75_nA10_nB20_i2,heur_semigreedy2s_v2_a0.3,0,100,3726,10,20,FEASIBLE,3,4.22672,10000,0.106782,224
r_n100_p0.5_nA20_nB10_i2,heur_semigreedy2s_v2_a0.3,0,100,2426,20,10,FEASIBLE,4,3.13456,10000,0.0303331,96
r_n150_p0.75_nA15_nB15_i0,heur_semigreedy2s_v2_a0.3,0,150,8339,15,15,FEASIBLE,4,12.616,15000,0.901017,1036
r_n100_p0.75_nA20_nB10_i2,heur_semigreedy2s_v2_a0.3,0,100,3690,20,10,FEASIBLE,8,1.94222,10000,0.00315521,14
r_n150_p0.25_nA15_nB30_i0,heur_semigreedy2s_v2_a0.3,0,150,2807,15,30,FEASIBLE,2,8.52216,15000,0.00351989,4
r_n100_p0.5_nA10_nB10_i1,heur_semigreedy2s_v2_a0.3,0,100,2429,10,10,FEASIBLE,2,2.78094,10000,0.00689433,22
r_n150_p0.25_nA30_nB30_i1,heur_semigreedy2s_v2_a0.3,0,150,2753,30,30,FEASIBLE,4,11.6817,15000,0.00110341,0
r_n150_p0.5_nA30_nB15_i0,heur_semigreedy2s_v2_a0.3,0,150,5641,30,15,FEASIBLE,6,17.3315,15000,7.08494,6131
r_n100_p0.5_nA10_nB20_i0,heur_semigreedy2s_v2_a0.3,0,100,2512,10,20,FEASIBLE,2,3.64738,10000,0.0356752,92
