instance,solver,run,nvertices,nedges,n,m,state,value,totalTime,totalIters,bestTime,bestIter
r_n170_p0.75_nA17_nB34_i1,heur_semigreedy2s_v2_r100,0,170,10781,17,34,FEASIBLE,4,23.64,17000,2.35293,1747
r_n170_p0.75_nA17_nB17_i1,heur_semigreedy2s_v2_r100,0,170,10787,17,17,FEASIBLE,5,17.5715,17000,0.263474,257
r_n130_p0.25_nA26_nB26_i1,heur_semigreedy2s_v2_r100,0,130,2071,26,26,FEASIBLE,3,6.01743,13000,0.000792891,0
r_n150_p0.5_nA15_nB30_i2,heur_semigreedy2s_v2_r100,0,150,5529,15,30,FEASIBLE,3,12.3356,15000,0.00650068,4
r_n150_p0.5_nA15_nB15_i4,heur_semigreedy2s_v2_r100,0,150,5682,15,15,FEASIBLE,3,10.1144,15000,0.00172032,1
r_n170_p0.75_nA17_nB17_i0,heur_semigreedy2s_v2_r100,0,170,10814,17,17,FEASIBLE,5,17.9797,17000,0.0506824,38
r_n170_p0.75_nA34_nB34_i2,heur_semigreedy2s_v2_r100,0,170,10798,34,34,FEASIBLE,10,30.4316,17000,0.0334538,15
r_n150_p0.5_nA30_nB15_i0,heur_semigreedy2s_v2_r100,0,150,5548,30,15,FEASIBLE,6,12.2356,15000,4.30422,5380
r_n170_p0.75_nA34_nB34_i3,heur_semigreedy2s_v2_r100,0,170,10760,34,34,FEASIBLE,9,31.8238,17000,27.6629,14779
r_n170_p0.75_nA17_nB17_i3,heur_semigreedy2s_v2_r100,0,170,10751,17,17,FEASIBLE,5,17.8387,17000,0.0404363,30
r_n130_p0.25_nA26_nB13_i2,heur_semigreedy2s_v2_r100,0,130,2097,26,13,FEASIBLE,3,5.17523,13000,1.0943,2810
r_n150_p0.5_nA15_nB15_i0,heur_semigreedy2s_v2_r100,0,150,5548,15,15,FEASIBLE,3,10.4987,15000,0.0191946,16
r_n150_p0.5_nA15_nB30_i0,heur_semigreedy2s_v2_r100,0,150,5548,15,30,FEASIBLE,3,12.474,15000,0.00208252,0
r_n150_p0.5_nA30_nB15_i4,heur_semigreedy2s_v2_r100,0,150,5636,30,15,FEASIBLE,6,11.9352,15000,3.43666,4431
r_n170_p0.75_nA34_nB34_i4,heur_semigreedy2s_v2_r100,0,170,10757,34,34,FEASIBLE,9,32.9133,17000,0.0256784,9
r_n170_p0.75_nA34_nB17_i0,heur_semigreedy2s_v2_r100,0,170,10814,34,17,FEASIBLE,12,11.3404,17000,0.0508904,70
r_n150_p0.5_nA15_nB30_i4,heur_semigreedy2s_v2_r100,0,150,5679,15,30,FEASIBLE,3,12.7072,15000,0.0479939,45
r_n170_p0.75_nA17_nB34_i0,heur_semigreedy2s_v2_r100,0,170,10814,17,34,FEASIBLE,5,23.9925,17000,0.0782702,50
r_n170_p0.75_nA34_nB34_i1,heur_semigreedy2s_v2_r100,0,170,10786,34,34,FEASIBLE,9,31.7023,17000,2.83319,1535
r_n150_p0.5_nA15_nB15_i2,heur_semigreedy2s_v2_r100,0,150,5568,15,15,FEASIBLE,3,9.92614,15000,0.00441448,4
r_n170_p0.75_nA17_nB34_i4,heur_semigreedy2s_v2_r100,0,170,10756,17,34,FEASIBLE,5,23.1726,17000,0.0246249,11
r_n170_p0.75_nA34_nB34_i0,heur_semigreedy2s_v2_r100,0,170,10814,34,34,FEASIBLE,10,32.7312,17000,0.189658,95
r_n170_p0.75_nA17_nB17_i2,heur_semigreedy2s_v2_r100,0,170,10804,17,17,FEASIBLE,5,17.6525,17000,0.123483,114
r_n150_p0.5_nA15_nB30_i1,heur_semigreedy2s_v2_r100,0,150,5541,15,30,FEASIBLE,3,12.7376,15000,0.00765561,5
r_n150_p0.5_nA30_nB30_i2,heur_semigreedy2s_v2_r100,0,150,5522,30,30,FEASIBLE,5,17.2555,15000,8.07664,7049
r_n150_p0.5_nA30_nB15_i2,heur_semigreedy2s_v2_r100,0,150,5525,30,15,FEASIBLE,6,12.1458,15000,5.90302,7368
r_n170_p0.75_nA34_nB17_i3,heur_semigreedy2s_v2_r100,0,170,10775,34,17,FEASIBLE,11,13.4546,17000,0.0299539,32
r_n130_p0.25_nA26_nB26_i0,heur_semigreedy2s_v2_r100,0,130,2038,26,26,FEASIBLE,3,5.91767,13000,0.00822253,12
r_n130_p0.25_nA26_nB26_i3,heur_semigreedy2s_v2_r100,0,130,2070,26,26,FEASIBLE,3,6.54417,13000,0.00655135,11
r_n170_p0.75_nA34_nB17_i4,heur_semigreedy2s_v2_r100,0,170,10756,34,17,FEASIBLE,12,10.4682,17000,0.321434,507
r_n150_p0.5_nA15_nB15_i3,heur_semigreedy2s_v2_r100,0,150,5673,15,15,FEASIBLE,3,9.74026,15000,0.00274208,1
r_n150_p0.5_nA15_nB15_i1,heur_semigreedy2s_v2_r100,0,150,5542,15,15,FEASIBLE,3,9.50114,15000,0.0346182,40
r_n170_p0.75_nA17_nB17_i4,heur_semigreedy2s_v2_r100,0,170,10685,17,17,FEASIBLE,5,17.2748,17000,0.0211161,13
r_n170_p0.75_nA17_nB34_i3,heur_semigreedy2s_v2_r100,0,170,10775,17,34,FEASIBLE,5,23.9748,17000,0.0752179,46
r_n150_p0.5_nA30_nB30_i4,heur_semigreedy2s_v2_r100,0,150,5637,30,30,FEASIBLE,6,16.9317,15000,0.118682,101
r_n170_p0.75_nA34_nB17_i2,heur_semigreedy2s_v2_r100,0,170,10813,34,17,FEASIBLE,12,11.8832,17000,0.0208718,24
r_n130_p0.25_nA26_nB13_i3,heur_semigreedy2s_v2_r100,0,130,2074,26,13,FEASIBLE,3,5.16648,13000,0.275444,696
r_n150_p0.5_nA30_nB15_i3,heur_semigreedy2s_v2_r100,0,150,5675,30,15,FEASIBLE,6,12.8486,15000,4.28635,5107
r_n150_p0.5_nA30_nB30_i3,heur_semigreedy2s_v2_r100,0,150,5675,30,30,FEASIBLE,6,15.998,15000,0.00165057,0
r_n170_p0.75_nA17_nB34_i2,heur_semigreedy2s_v2_r100,0,170,10800,17,34,FEASIBLE,5,23.027,17000,0.0823963,57
r_n130_p0.25_nA26_nB26_i4,heur_semigreedy2s_v2_r100,0,130,2121,26,26,FEASIBLE,3,6.20975,13000,0.0700723,135
r_n150_p0.5_nA15_nB30_i3,heur_semigreedy2s_v2_r100,0,150,5618,15,30,FEASIBLE,3,12.8802,15000,0.00178551,0
r_n130_p0.25_nA26_nB13_i0,heur_semigreedy2s_v2_r100,0,130,2038,26,13,FEASIBLE,3,5.15541,13000,0.148914,369
r_n150_p0.5_nA30_nB30_i1,heur_semigreedy2s_v2_r100,0,150,5562,30,30,FEASIBLE,6,16.9776,15000,0.0481833,34
r_n130_p0.25_nA26_nB13_i4,heur_semigreedy2s_v2_r100,0,130,2115,26,13,FEASIBLE,4,5.27174,13000,0.0061902,9
r_n130_p0.25_nA26_nB26_i2,heur_semigreedy2s_v2_r100,0,130,2100,26,26,FEASIBLE,3,6.36213,13000,0.0327391,59
r_n170_p0.75_nA34_nB17_i1,heur_semigreedy2s_v2_r100,0,170,10786,34,17,FEASIBLE,12,10.8419,17000,1.71121,2661
r_n150_p0.5_nA30_nB30_i0,heur_semigreedy2s_v2_r100,0,150,5548,30,30,FEASIBLE,6,17.33,15000,0.205115,183
r_n150_p0.5_nA30_nB15_i1,heur_semigreedy2s_v2_r100,0,150,5541,30,15,FEASIBLE,7,11.8846,15000,0.0941358,113
r_n130_p0.25_nA26_nB13_i1,heur_semigreedy2s_v2_r100,0,130,2181,26,13,FEASIBLE,3,5.21734,13000,0.166645,413
r_n170_p0.75_nA17_nB34_i1,heur_semigreedy2s_v2_r1000,0,170,10781,17,34,FEASIBLE,4,249.798,170000,2.34346,1747
r_n170_p0.75_nA17_nB17_i1,heur_semigreedy2s_v2_r1000,0,170,10787,17,17,FEASIBLE,5,186.64,170000,0.268681,257
r_n130_p0.25_nA26_nB26_i1,heur_semigreedy2s_v2_r1000,0,130,2071,26,26,FEASIBLE,3,60.8527,130000,0.000566948,0
r_n150_p0.5_nA15_nB30_i2,heur_semigreedy2s_v2_r1000,0,150,5529,15,30,FEASIBLE,3,128.848,150000,0.00526463,4
r_n150_p0.5_nA15_nB15_i4,heur_semigreedy2s_v2_r1000,0,150,5682,15,15,FEASIBLE,3,106.572,150000,0.00276668,1
r_n170_p0.75_nA17_nB17_i0,heur_semigreedy2s_v2_r1000,0,170,10814,17,17,FEASIBLE,4,189.933,170000,127.267,114974
r_n170_p0.75_nA34_nB34_i2,heur_semigreedy2s_v2_r1000,0,170,10798,34,34,FEASIBLE,9,302.547,170000,202.55,113800
r_n150_p0.5_nA30_nB15_i0,heur_semigreedy2s_v2_r1000,0,150,5548,30,15,FEASIBLE,6,127.463,150000,4.28919,5380
r_n170_p0.75_nA34_nB34_i3,heur_semigreedy2s_v2_r1000,0,170,10760,34,34,FEASIBLE,9,317.221,170000,27.7742,14779
r_n170_p0.75_nA17_nB17_i3,heur_semigreedy2s_v2_r1000,0,170,10751,17,17,FEASIBLE,5,186.425,170000,0.03984,30
r_n130_p0.25_nA26_nB13_i2,heur_semigreedy2s_v2_r1000,0,130,2097,26,13,FEASIBLE,3,53.6626,130000,1.10293,2810
r_n150_p0.5_nA15_nB15_i0,heur_semigreedy2s_v2_r1000,0,150,5548,15,15,FEASIBLE,3,110.586,150000,0.0177615,16
r_n150_p0.5_nA15_nB30_i0,heur_semigreedy2s_v2_r1000,0,150,5548,15,30,FEASIBLE,3,130.994,150000,0.00190172,0
r_n150_p0.5_nA30_nB15_i4,heur_semigreedy2s_v2_r1000,0,150,5636,30,15,FEASIBLE,6,125.196,150000,3.44345,4431
r_n170_p0.75_nA34_nB34_i4,heur_semigreedy2s_v2_r1000,0,170,10757,34,34,FEASIBLE,9,328.883,170000,0.0275248,9
r_n170_p0.75_nA34_nB17_i0,heur_semigreedy2s_v2_r1000,0,170,10814,34,17,FEASIBLE,11,113.266,170000,13.4611,20306
r_n150_p0.5_nA15_nB30_i4,heur_semigreedy2s_v2_r1000,0,150,5679,15,30,FEASIBLE,3,132.182,150000,0.0458829,45
r_n170_p0.75_nA17_nB34_i0,heur_semigreedy2s_v2_r1000,0,170,10814,17,34,FEASIBLE,4,253.533,170000,46.9349,32768
