instance,solver,run,nvertices,nedges,n,m,nvars,ncons,state,time,nodes,nodesLeft,lb,ub,gap,ninfeas,ninfeasPrepro,ninfeasCheck,ninfeasAux,nint,ngcp,gcpTime,nsol,nsolHeur,nsolLR,ntrivial,rootlb,rootub,rootHeurTime,rootFeasTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
r_n130_p0.25_nA26_nB13_i1,byp_a0.3,0,130,2181,26,13,-1,-1,FEASIBLE,428.872,1,1,1.89831,3.0,0.367229,0.0,0,0,0,0,0,0.0,1,1,0,0,1.89831,3.0,21.2976,0.0,508,0,308,0,0,200,307,0,108,0,0,199,407.441,0.0,0.0501049,0.0,0.0,407.391,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA34_nB17_i2,byp_a0.3,0,170,10813,34,17,-1,-1,FEASIBLE,495.088,1,1,9.50221,11.0,0.136163,0.0,0,0,0,0,0,0.0,1,1,0,0,9.50221,11.0,43.8643,0.0,485,0,315,0,0,170,314,0,145,0,0,169,451.093,0.0,0.117836,0.0,0.0,450.975,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA34_nB17_i0,byp_a0.3,0,170,10814,34,17,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,11.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,8.65907,11.0,49.2238,0.0,465,0,316,0,0,149,316,0,167,0,0,149,856.138,0.0,0.160938,0.0,0.0,855.977,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA17_nB34_i4,byp_a0.3,0,170,10756,17,34,-1,-1,OPTIMAL,350.233,1,0,3.0,3.0,0.0,0.0,0,0,0,1,0,0.0,2,1,1,0,3.0,5.0,70.2459,0.0,156,0,105,0,0,51,104,0,54,0,0,50,279.942,0.0,0.0423512,0.0,0.0,279.899,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA15_nB30_i4,byp_a0.3,0,150,5679,15,30,-1,-1,FEASIBLE,258.488,1,1,1.7037,3.0,0.432099,0.0,0,0,0,0,0,0.0,1,1,0,0,1.7037,3.0,33.7391,0.0,143,0,97,0,0,46,96,0,51,0,0,45,224.717,0.0,0.0252401,0.0,0.0,224.691,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n130_p0.25_nA26_nB26_i0,byp_a0.3,0,130,2038,26,26,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,3.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,1.69353,3.0,22.8699,0.0,403,0,263,0,0,140,263,0,123,0,0,140,886.048,0.0,0.0403441,0.0,0.0,886.007,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA30_nB30_i0,byp_a0.3,0,150,5548,30,30,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,6.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,3.50665,6.0,66.7027,0.0,344,0,244,0,0,100,244,0,144,0,0,100,839.897,0.0,0.0575931,0.0,0.0,839.839,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n130_p0.25_nA26_nB13_i3,byp_a0.3,0,130,2074,26,13,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,3.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,1.79561,3.0,20.3433,0.0,445,0,297,0,0,148,297,0,149,0,0,148,881.747,0.0,0.043142,0.0,0.0,881.704,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n130_p0.25_nA26_nB26_i2,byp_a0.3,0,130,2100,26,26,-1,-1,FEASIBLE,769.743,1,1,1.78777,3.0,0.404076,0.0,0,0,0,0,0,0.0,1,1,0,0,1.78777,3.0,23.6531,0.0,356,0,234,0,0,122,233,0,112,0,0,121,745.99,0.0,0.0369328,0.0,0.0,745.953,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA15_nB15_i4,byp_a0.3,0,150,5682,15,15,-1,-1,FEASIBLE,536.298,1,1,1.72692,3.0,0.42436,0.0,0,0,0,0,0,0.0,1,1,0,0,1.72692,3.0,30.273,0.0,170,0,113,0,0,57,112,0,56,0,0,56,505.986,0.0,0.0296173,0.0,0.0,505.956,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n130_p0.25_nA26_nB13_i2,byp_a0.3,0,130,2097,26,13,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,3.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,1.82414,3.0,20.6136,0.0,492,0,319,0,0,173,319,0,146,0,0,173,896.394,0.0,0.0458797,0.0,0.0,896.348,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA30_nB15_i1,byp_a0.3,0,150,5541,30,15,-1,-1,FEASIBLE,676.793,1,1,4.27373,7.0,0.389467,0.0,0,0,0,0,0,0.0,1,1,0,0,4.27373,7.0,46.8022,0.0,521,0,331,0,0,190,330,0,141,0,0,189,629.835,0.0,0.0815747,0.0,0.0,629.753,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA17_nB34_i3,byp_a0.3,0,170,10775,17,34,-1,-1,FEASIBLE,235.311,1,1,3.1,5.0,0.38,0.0,0,0,0,0,0,0.0,1,1,0,0,3.1,5.0,70.122,0.0,103,0,75,0,0,28,74,0,47,0,0,27,165.153,0.0,0.029318,0.0,0.0,165.124,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
