instance,solver,run,nvertices,nedges,nP,nQ,nvars,ncons,state,terminationReason,time,nodes,nodesLeft,lb,ub,gap,ninfeas,ninfeasPrepro,ninfeasCheck,ninfeasAux,gcpAvgTime,nsol,nsolHeur,nsolLR,nsolGCP,nsolTrivial,ntrivialNodes,nintNodes,nfracNodes,ngcpNodes,rootlb,rootub,rootHeurTime,rootFeasTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
r_n110_p0.25_nA22_nB22_i2,byp_,0,110,1525,22,22,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,6,2,1.67478,3.0,0.441741,0.0,0,0,0,0.0,1,1,0,0,0,0,0,5,0,1.63034,11.0,2.71736e-319,0.0,7939,0,7900,28,0,11,342,0,307,25,0,10,12.9143,5.02e-06,0.465811,0.3124,0.0,12.1361,5e-324,0,0.0,233440,86316,144260,1433,0,1430,1506,28,43,4,0,1429,1434.35,0.0573049,8.87467,22.0678,0.0,1403.35
r_n130_p0.75_nA26_nB13_i2,byp_,0,130,6270,26,13,-1,-1,OPTIMAL,optimality proven,80.831,1,0,8.0,8.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,7.33831,29.0,3.21143e-319,0.0,8828,0,8700,49,49,30,316,0,268,19,0,29,51.4376,8.724e-06,0.71927,0.0209379,0.179611,50.5177,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n120_p0.5_nA24_nB24_i1,byp_,0,120,3584,24,24,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,3,1,3.24449,5.0,0.351101,0.0,0,0,0,0.0,1,1,0,0,0,0,0,2,0,3.20154,24.0,2.9644e-319,0.0,6346,0,6300,32,0,14,259,0,220,26,0,13,42.3444,4.115e-06,0.422306,0.215906,0.0,41.7062,5e-324,0,0.0,325522,225679,97900,974,0,968,1023,36,11,8,0,968,3566.84,0.0313388,6.75862,10.0124,0.0,3550.04
r_n130_p0.75_nA26_nB13_i3,byp_,0,130,6255,26,13,-1,-1,OPTIMAL,optimality proven,448.053,25,0,9.0,9.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,0,25,0,7.38959,29.0,3.21143e-319,0.0,10543,0,10400,53,53,37,294,0,239,19,0,36,76.7468,9.937e-06,0.842187,0.0443986,0.183059,75.6772,5e-324,0,0.0,3744,1915,1791,13,13,10,55,30,12,3,0,9,14.2215,0.000220729,0.147706,0.00435732,0.0875956,13.9816
r_n130_p0.75_nA13_nB26_i3,byp_,0,130,6257,13,26,-1,-1,OPTIMAL,optimality proven,347.846,177,0,3.0,3.0,0.0,0.0,0,0,0,0.0,2,1,1,0,0,0,1,176,0,2.46667,75.0,3.21143e-319,0.0,1803,0,1800,0,3,0,96,0,94,0,2,0,0.167284,9.78e-07,0.129616,0.0,0.0376663,0.0,5e-324,0,0.0,767,248,513,1,2,0,26,11,13,1,0,0,1.53829,4.34706e-05,0.0315825,0.0104278,0.0207662,1.47547
r_n120_p0.5_nA24_nB12_i4,byp_,0,120,3594,24,12,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,57,28,3.69787,5.0,0.260427,0.0,0,0,0,0.0,1,1,0,0,0,0,0,56,0,3.29143,19.0,2.9644e-319,0.0,7466,0,7400,34,0,32,269,0,236,2,0,31,98.1077,4.801e-06,0.527973,0.17515,0.0,97.4045,5e-324,0,0.0,16449,9145,7176,63,0,62,120,29,28,1,0,61,126.443,0.00139155,0.492326,0.133134,0.0,125.816
r_n130_p0.75_nA13_nB13_i1,byp_,0,130,6349,13,13,-1,-1,OPTIMAL,optimality proven,426.509,109,0,3.0,3.0,0.0,0.0,0,0,0,0.0,2,1,1,0,0,0,1,108,0,2.55418,58.0,3.21143e-319,0.0,2419,0,2400,7,8,4,124,0,114,6,1,3,13.7733,1.592e-06,0.189054,0.0687008,0.106598,13.4089,5e-324,0,0.0,1085,366,710,3,3,2,33,14,15,1,0,1,3.26856,5.89303e-05,0.0423352,0.0201597,0.0286332,3.17737
r_n130_p0.75_nA26_nB26_i0,byp_,0,130,6266,26,26,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,87,25,5.99657,7.0,0.143347,0.0,0,0,0,0.0,1,1,0,0,0,0,0,86,0,5.63771,72.0,3.1126e-319,0.0,5054,0,5000,22,23,9,220,0,189,22,1,8,35.6651,3.759e-06,0.339864,0.181229,0.141085,35.0029,5e-324,0,0.0,10565,4451,5951,55,55,51,97,25,15,5,0,50,82.4468,0.000931561,0.478244,0.421581,0.0822725,81.4638
r_n120_p0.5_nA12_nB24_i3,byp_,0,120,3563,12,24,-1,-1,OPTIMAL,optimality proven,13.7839,1,0,2.0,2.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,1.42857,12.0,2.9644e-319,0.0,2405,0,2400,4,0,1,123,0,118,5,0,0,1.23056,1.413e-06,0.169453,0.0128046,0.0,1.0483,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n110_p0.25_nA22_nB11_i3,byp_,0,110,1517,22,11,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,15,7,2.0,3.0,0.333333,0.0,0,0,0,0.0,1,1,0,0,0,0,0,14,0,1.73126,9.0,2.56914e-319,0.0,10686,0,10600,44,0,42,331,0,288,2,0,41,39.326,5.833e-06,0.557857,0.140608,0.0,38.6275,5e-324,0,0.0,73518,23767,48792,479,0,478,547,36,31,1,0,477,510.656,0.00799468,2.6719,2.03873,0.0,505.938
